"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "ASV"
"882ffc6d7d7f0f183a540adf947c2f23" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV0656"
"e0adc15aee3357a50d9383447fcedffb" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV0685"
"f8e4a94562bbfc4816807e2c7f31ad9d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV1025"
"da9af9d894f0a25f220509dea825eb7e" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV1314"
"24286764b6ab22bd840a095b515ebe9e" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0226"
"6adde5ef52947e8b5a793572e86a0fe8" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0194"
"b6e770190235dd39bbb910de05776350" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0171"
"16dfa26c39b01f43f6b04485030d5d80" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0307"
"5aa63ad67a763ebc065ec5f3470e0791" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0180"
"8a066de878bc971e67fcd4efcb864b7e" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV1634"
"d5f961b0cff5aef509cfa563af2d7566" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "Frischella perrara" "ASV1066"
"61b4d0bd83941e862633b0ff87706d3b" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0246"
"7682208bfc3bfe510d748d4597a54b80" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0218"
"9b10a86c2df13dc5f303f9069af24624" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0220"
"4595ec63004e96511d1a8532008651e8" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV0358"
"3e35ebbe5f30e29125d3c2d3963c8f6f" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" NA "not_available" "ASV0841"
"6dc80eafbb5b1054d4be762d14af7d01" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0646"
"52fa5822dc9321239848edd34b11668c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "uncultured gamma proteobacterium" "ASV0391"
"609811d29c15b56062f59bb08e5d212e" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0414"
"c0a8ca7f87103dc865624d1b36f6c970" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0553"
"3c4f64db9e069bf02f442d197c1b4942" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "uncultured gamma proteobacterium" "ASV0020"
"da20a93e3b15a5402a7e52179996726f" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "uncultured gamma proteobacterium" "ASV0123"
"093c2eddacc5d12fc703e3acfa0f4416" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "uncultured gamma proteobacterium" "ASV0149"
"9fe1488817b8664e5994c70e077fc11b" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0643"
"ede6bd86005912099571f6488cac1ae5" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Frischella" "not_available" "ASV0679"
"54dcdf510f7876b94fd6fbea7e706f30" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0974"
"65720ad0299114d2dedaa4b1bc019f56" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0038"
"9fe8abf126d1deea6e25baefba2fde81" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0072"
"b7c7e5d37e4a2c27407f12e2780ab268" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0068"
"63151a1d7ea887d788308396384ba72d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0118"
"04aa4fb0986117f4ab527c6d68c2bc04" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0090"
"87d92690c2d250ebca1de5e4c42ec1d7" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0041"
"2c3baa6acbb8507350397d7678dde1ba" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0078"
"66915f9b0c26e0591a3c4a84cbbe1287" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "uncultured gamma proteobacterium" "ASV0010"
"1d9afe3dfc5d4f1989e4b04f78ca2527" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0013"
"be84d822b5027a7e5f80196547d24520" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0021"
"46417f8c2d13b4a7cadbf4c9866ce7fa" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0028"
"9ec529b47c6355f5402219687a277725" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0070"
"a2471f7b74c217030942125304a37e79" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0085"
"5b84f970c1a93cc83dbff2c0aa09c0ac" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0093"
"7d581e3ec8b338aaf18949bdad17f3d0" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0097"
"544851f734212fe1835fd74facb2ebbb" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0147"
"cc652ee1fbf8f1ee85f9e2f3798b4a05" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Orbales" "Orbaceae" "Gilliamella" "not_available" "ASV0162"
