SampleID	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2
X16.Ch3.6	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	16_3	cycle_2	Chlorothalonil_cycle_2	Chlorothalonil_cycle_3
X16.G1.5	run_one	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G1.7	run_two	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G1.9	run_one	Glyphosate	Glyphosate	single_bee	cage_1	Glyphosate_cage_1	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G2.10	run_two	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G2.7	run_one	Glyphosate	Glyphosate	single_bee	cage_2	Glyphosate_cage_2	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G3.4	run_one	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G3.5	run_two	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.G3.6	run_one	Glyphosate	Glyphosate	single_bee	cage_3	Glyphosate_cage_3	16_3	cycle_2	Glyphosate_cycle_2	Glyphosate_cycle_3
X16.T1.1	run_one	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T1.2	run_two	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T1.3	run_one	Tetracycline	Tetracycline	single_bee	cage_1	Tetracycline_cage_1	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T2.1	run_two	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T2.10	run_one	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T2.5	run_two	Tetracycline	Tetracycline	single_bee	cage_2	Tetracycline_cage_2	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T3.3	run_one	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T3.6	run_one	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X16.T3.7	run_two	Tetracycline	Tetracycline	single_bee	cage_3	Tetracycline_cage_3	16_3	cycle_2	Tetracycline_cycle_2	Tetracycline_cycle_3
X21.C1.Ch.1	run_two	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C1.Ch.2	run_two	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C1.Ch.3	run_one	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_1	control_Chlorothalonil_cage_1	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C1.G.1	run_two	control_Glyphosate	control_Glyphosate	single_bee	cage_1	control_Glyphosate_cage_1	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C1.G.3	run_one	control_Glyphosate	control_Glyphosate	single_bee	cage_1	control_Glyphosate_cage_1	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C1.G.5	run_two	control_Glyphosate	control_Glyphosate	single_bee	cage_1	control_Glyphosate_cage_1	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C1.T.4	run_one	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C1.T.5	run_one	control_Tetracycline	control_Tetracycline	single_bee	cage_1	control_Tetracycline_cage_1	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C2.Ch.1	run_two	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C2.Ch.3	run_one	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C2.Ch.6	run_one	control_Chlorothalonil	control_Chlorothalonil	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress
X21.C2.G.1	run_one	control_Glyphosate	control_Glyphosate	single_bee	cage_2	control_Glyphosate_cage_2	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C2.G.4	run_two	control_Glyphosate	control_Glyphosate	single_bee	cage_2	control_Glyphosate_cage_2	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C2.G.6	run_two	control_Glyphosate	control_Glyphosate	single_bee	cage_2	control_Glyphosate_cage_2	21_3	cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress
X21.C2.T.1	run_two	control_Tetracycline	control_Tetracycline	single_bee	cage_2	control_Tetracycline_cage_2	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C2.T.3	run_one	control_Tetracycline	control_Tetracycline	single_bee	cage_2	control_Tetracycline_cage_2	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
X21.C2.T.6	run_two	control_Tetracycline	control_Tetracycline	single_bee	cage_2	control_Tetracycline_cage_2	21_3	cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress
