SampleID	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X21.C2.Ch.1	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.Ch.3	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.Ch.6	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_2	control_Chlorothalonil_cage_2	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.G.1	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_2	control_Glyphosate_cage_2	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.G.4	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_2	control_Glyphosate_cage_2	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.G.6	control_Glyphosate	control_Glyphosate	Control	single_bee	cage_2	control_Glyphosate_cage_2	21_3	cycle_three_before_stress	control_Glyphosate_cycle_3_before_stress	control_Glyphosate_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.T.1	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_2	control_Tetracycline_cage_2	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.T.3	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_2	control_Tetracycline_cage_2	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C2.T.6	control_Tetracycline	control_Tetracycline	Control	single_bee	cage_2	control_Tetracycline_cage_2	21_3	cycle_three_before_stress	control_Tetracycline_cycle_3_before_stress	control_Tetracycline_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.Ch.1	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.Ch.4	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
X21.C3.Ch.5	control_Chlorothalonil	control_Chlorothalonil	Control	single_bee	cage_3	control_Chlorothalonil_cage_3	21_3	cycle_three_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_Chlorothalonil_cycle_3_before_stress	control_cycle_3_before_stress
