gene,go
GB20148,GO:0016810
GB16068,GO:0016021
GB16068,GO:0006812
GB11283,GO:0005737
GB11283,GO:0005975
GB12849,GO:0016021
GB12849,GO:0000166
GB12849,GO:0003774
GB18040,GO:0000287
GB14164,GO:0005615
GB14164,GO:0019058
GB14164,GO:0038026
GB11525,GO:0005794
GB11525,GO:0000166
GB11525,GO:0003723
GB11525,GO:0002128
GB19268,GO:0016021
GB19268,GO:0016740
GB19268,GO:0046856
GB18921,GO:0000166
GB18921,GO:0004020
GB14373,GO:0000166
GB14373,GO:0000287
GB19954,GO:0016021
GB17177,GO:0005622
GB17177,GO:0016020
GB17177,GO:0030553
GB17177,GO:0008601
GB17177,GO:0015031
GB17177,GO:0048015
GB19522,GO:0005737
GB19522,GO:0000166
GB12157,GO:0005794
GB12157,GO:0043565
GB12157,GO:0006396
GB16684,GO:0003723
GB17291,GO:0046562
GB17291,GO:0000287
GB17291,GO:0048038
GB17291,GO:0006108
GB12740,GO:0003723
GB12740,GO:0006396
GB17456,GO:0002128
GB19390,GO:0000166
GB19390,GO:0004020
GB19390,GO:0006979
GB17311,GO:0016021
GB18486,GO:0016021
GB11747,GO:0002128
GB10745,GO:0016021
GB10745,GO:0006812
GB10488,GO:0016021
GB13291,GO:0016021
GB17245,GO:0016021
GB17245,GO:0005576
GB17245,GO:0038026
GB15950,GO:0016787
GB11745,GO:0003676
GB11720,GO:0005794
GB11720,GO:0043565
GB11720,GO:0006396
GB16829,GO:0016021
GB16829,GO:0005452
GB19344,GO:0000166
GB19344,GO:0004020
GB11028,GO:0005509
GB19803,GO:0016021
GB19803,GO:0004871
GB10686,GO:0006396
GB19155,GO:0030151
GB19192,GO:0005515
GB16067,GO:0016021
GB16067,GO:0046856
GB12372,GO:0016021
GB12372,GO:0005215
GB12372,GO:0006812
GB14298,GO:0005198
GB14298,GO:0015031
GB14298,GO:0016192
GB11511,GO:0008241
GB16551,GO:0016021
GB16551,GO:0005794
GB16551,GO:0005509
GB16551,GO:0004871
GB16551,GO:0004842
GB16551,GO:0006979
GB11556,GO:0016021
GB11556,GO:0005886
GB11556,GO:0005509
GB11556,GO:0007155
GB17528,GO:0030553
GB17528,GO:0007049
GB17528,GO:0051301
GB19858,GO:0016021
GB13569,GO:0003723
GB14779,GO:0004613
GB14779,GO:0048038
GB14779,GO:0009448
GB18966,GO:0020037
GB18966,GO:0000287
GB13099,GO:0005622
GB13099,GO:0003729
GB11663,GO:0004379
GB11663,GO:0006499
GB18229,GO:0005856
GB18229,GO:0000166
GB18229,GO:0003774
GB19611,GO:0016579
GB10625,GO:0016021
GB18151,GO:0016021
GB18151,GO:0004871
GB20036,GO:0016021
GB10790,GO:0000166
GB10790,GO:0003774
GB10790,GO:0003723
GB30131,GO:0016021
GB30131,GO:0005549
GB30131,GO:0004871
GB15851,GO:0016021
GB15851,GO:0004871
GB13140,GO:0048038
GB13140,GO:0008483
GB12435,GO:0003676
GB12435,GO:0000166
GB16509,GO:0000287
GB16509,GO:0003676
GB11247,GO:0019058
GB11247,GO:0051726
GB11247,GO:0003774
GB11247,GO:0048786
GB11247,GO:0000795
GB11247,GO:0005856
GB11812,GO:0016021
GB11812,GO:0004057
GB19758,GO:0003723
GB19758,GO:0004781
GB19758,GO:0006396
GB12076,GO:0005794
GB12076,GO:0003723
GB12076,GO:0006396
GB18009,GO:0005794
GB18009,GO:0003723
GB18009,GO:0003700
GB18009,GO:0006396
GB12996,GO:0016021
GB12059,GO:0005856
GB12059,GO:0005737
GB12059,GO:0070836
GB16505,GO:0016021
GB15147,GO:0003676
GB15147,GO:0030151
GB11045,GO:0005794
GB11045,GO:0004057
GB11045,GO:0006396
GB15153,GO:0016021
GB15153,GO:0016192
GB15932,GO:0005737
GB15932,GO:0000166
GB15932,GO:0003723
GB11486,GO:0016021
GB15808,GO:0016021
GB15808,GO:0008241
GB15808,GO:0030151
GB18233,GO:0016021
GB18912,GO:0008241
GB10621,GO:0008177
GB10621,GO:0048038
GB14170,GO:0030151
GB13383,GO:0006812
GB11827,GO:0016021
GB12977,GO:0005856
GB12977,GO:0070836
GB11865,GO:0005515
GB19835,GO:0005576
GB19835,GO:0008484
GB19646,GO:0000166
GB19646,GO:0003723
GB19646,GO:0006270
GB13279,GO:0003774
GB13279,GO:0005856
GB14557,GO:0016757
GB19765,GO:0034707
GB19791,GO:0005794
GB19791,GO:0016021
GB19791,GO:0015031
GB18432,GO:0005198
GB19311,GO:0005622
GB19311,GO:0006812
GB12466,GO:0005794
GB14751,GO:0016021
GB15834,GO:0003824
GB15081,GO:0000795
GB13392,GO:0000166
GB19437,GO:0016021
GB19437,GO:0016757
GB14169,GO:0043565
GB14169,GO:0003700
GB14169,GO:0030151
GB11464,GO:0005794
GB11464,GO:0000287
GB11464,GO:0000166
GB11464,GO:0003723
GB11701,GO:0030131
GB11701,GO:0008289
GB11701,GO:0015031
GB11701,GO:0016192
GB13849,GO:0016757
GB11204,GO:0005576
GB11204,GO:0040007
GB11455,GO:0016021
GB11455,GO:0016757
GB15825,GO:0003676
GB19689,GO:0005794
GB19689,GO:0000166
GB19689,GO:0000287
GB19689,GO:0004020
GB19689,GO:0019058
GB12043,GO:0005622
GB12043,GO:0000166
GB12043,GO:0000287
GB12043,GO:0004020
GB12043,GO:0006979
GB13661,GO:0004070
GB13264,GO:0016021
GB13264,GO:0016740
GB13264,GO:0046856
GB15903,GO:0005794
GB15903,GO:0004057
GB15903,GO:0006396
GB16080,GO:0016021
GB16080,GO:0030151
GB16080,GO:0016491
GB16080,GO:0046856
GB15822,GO:0016021
GB18272,GO:0005622
GB18272,GO:0015031
GB17300,GO:0016021
GB14307,GO:0005089
GB14307,GO:1901031
GB19938,GO:0051726
GB19938,GO:0070836
GB19938,GO:0019058
GB19938,GO:0003774
GB19938,GO:0005856
GB19938,GO:0048786
GB19938,GO:0016021
GB19938,GO:0000795
GB16901,GO:0000287
GB16901,GO:0003676
GB14916,GO:0016021
GB14916,GO:0016740
GB14916,GO:0046856
GB19109,GO:0005794
GB19109,GO:0003676
GB19109,GO:0030151
GB14983,GO:0000287
GB14983,GO:0003676
GB14680,GO:0016021
GB16441,GO:0005515
GB12063,GO:0005622
GB12063,GO:0019992
GB15884,GO:0016021
GB15884,GO:0000166
GB15884,GO:0004020
GB15884,GO:1901031
GB15015,GO:0007049
GB15015,GO:0006396
GB20097,GO:0005856
GB20097,GO:0003723
GB20097,GO:0005200
GB20097,GO:0002128
GB11072,GO:0016021
GB10561,GO:0005737
GB10561,GO:0000166
GB10561,GO:0006508
GB12887,GO:0005737
GB12887,GO:0000166
GB12887,GO:0003676
GB13190,GO:0000166
GB13190,GO:0004020
GB19490,GO:0003755
GB19490,GO:0003723
GB19490,GO:0002128
